City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
185,Bahia De Caraquez,EC,2022-02-01 18:59:57,-0.6,-80.4167,82.58,69,100,7.94
186,Zemio,CF,2022-02-01 18:59:58,5.0314,25.1361,76.21,25,67,3.13
187,Awjilah,LY,2022-02-01 18:59:58,29.1081,21.2869,59.97,33,100,12.44
188,Sao Jose Da Coroa Grande,BR,2022-02-01 18:59:59,-8.8978,-35.1478,83.46,66,11,9.1
189,San Cristobal,VE,2022-02-01 18:59:59,7.7669,-72.225,77.18,30,89,8.08
190,Bani,DO,2022-02-01 19:00:00,18.2833,-70.3333,83.64,55,15,12.19
191,Manavalakurichi,IN,2022-02-01 18:58:22,8.1333,77.3,82.49,80,4,6.8
192,Vanimo,PG,2022-02-01 19:00:01,-2.6741,141.3028,76.37,85,100,5.93
193,Polgardi,HU,2022-02-01 19:00:02,47.061,18.302,35.49,90,16,3.83
194,Baykit,RU,2022-02-01 19:00:06,61.67,96.37,-10.55,100,100,0.94
195,Kaeo,NZ,2022-02-01 19:00:08,-35.1,173.7833,70.32,91,100,13.38
196,Acarau,BR,2022-02-01 19:00:10,-2.8856,-40.12,84.29,68,100,16.58
197,Port Shepstone,ZA,2022-02-01 19:00:12,-30.7414,30.455,77.76,88,100,13.51
198,Ovsyanka,RU,2022-02-01 19:00:14,55.9575,92.5519,-3.78,97,98,4.18
199,Krasnyy Chikoy,RU,2022-02-01 19:00:15,50.3643,108.7512,-3.48,100,100,2.46
200,Mitu,CO,2022-02-01 18:56:26,1.1983,-70.1733,93.49,33,100,5.06
201,Gaya,IN,2022-02-01 19:00:18,24.7833,85.0,55.58,72,0,1.59
202,Kimbe,PG,2022-02-01 19:00:18,-5.5502,150.1429,75.27,96,100,1.39
203,Walvis Bay,NA,2022-02-01 19:00:19,-22.9575,14.5053,71.1,77,64,6.55
204,Beyneu,KZ,2022-02-01 19:00:20,45.3167,55.2,33.06,84,100,11.05
205,Bathsheba,BB,2022-02-01 19:00:21,13.2167,-59.5167,80.47,68,0,14.03
206,Osorno,CL,2022-02-01 19:00:22,-40.5667,-73.15,81.25,42,100,3.67
207,Moree,AU,2022-02-01 19:00:22,-29.4667,149.85,77.86,69,100,4.36
208,Coihaique,CL,2022-02-01 19:00:23,-45.5752,-72.0662,67.89,44,100,12.8
209,Pajapan,MX,2022-02-01 19:00:24,18.25,-94.7,78.96,70,86,7.0
210,Houma,US,2022-02-01 18:59:59,29.5958,-90.7195,70.0,69,100,18.54
211,Opuwo,NA,2022-02-01 19:00:25,-18.0607,13.84,72.19,37,100,10.09
