City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
259,Umm Kaddadah,SD,13.6017,26.6876,56.1,23,70,17.13,broken clouds
260,Lompoc,US,34.6391,-120.4579,73.71,54,20,10.36,few clouds
261,Oktyabrskiy,RU,54.4815,53.471,18.5,99,99,1.99,overcast clouds
262,Chibuto,MZ,-24.6867,33.5306,72.45,87,19,8.77,light rain
263,Nago,JP,26.5881,127.9761,59.45,65,100,12.3,overcast clouds
264,Rodrigues Alves,BR,-7.738,-72.6509,75.04,88,55,3.27,broken clouds
265,Filadelfia,US,39.9523,-75.1638,25.88,57,0,1.99,clear sky
266,Rongcheng,CN,30.634,117.8517,35.4,69,93,6.85,overcast clouds
267,Nanortalik,GL,60.1432,-45.2371,8.71,62,76,13.6,broken clouds
268,Pevek,RU,69.7008,170.3133,-26.84,99,42,1.79,scattered clouds
269,Tsaratanana,MG,-16.7833,47.65,71.55,98,100,7.09,light rain
270,Basco,PH,20.4487,121.9702,72.63,73,78,30.6,broken clouds
271,Grand-Lahou,CI,5.1367,-5.0242,79.02,86,3,6.89,light rain
272,Malanje,AO,-9.5402,16.341,62.22,97,100,2.75,overcast clouds
273,Kattivakkam,IN,13.2167,80.3167,79.07,82,98,7.43,overcast clouds
274,Alexandria,EG,31.2156,29.9553,58.62,63,36,10.63,scattered clouds
275,Orange Cove,US,36.6244,-119.3137,64.45,40,100,2.86,overcast clouds
276,Narsaq,GL,60.9167,-46.05,-0.18,70,63,5.7,broken clouds
277,Ballina,AU,-28.8667,153.5667,75.16,69,75,18.41,broken clouds
278,Verkhoyansk,RU,67.5447,133.385,-41.98,99,99,0.94,overcast clouds
279,Sherghati,IN,24.5667,84.7833,47.82,74,0,5.01,clear sky
280,Araouane,ML,18.9048,-3.5265,64.17,12,49,8.57,scattered clouds
281,Makakilo City,US,21.3469,-158.0858,82.15,61,20,5.75,few clouds
282,Zhezkazgan,KZ,47.8043,67.7144,12.47,80,94,13.31,overcast clouds
283,Kutum,SD,14.2,24.6667,51.33,22,53,9.8,broken clouds
284,Thessalon,CA,46.2501,-83.5666,18.36,84,100,7.16,overcast clouds
285,Rapid Valley,US,44.0625,-103.1463,45.59,37,0,1.99,clear sky
286,Ambon,ID,-3.6954,128.1814,86.14,70,40,11.5,scattered clouds
287,Corinto,GR,37.9407,22.9573,52.68,81,98,2.01,overcast clouds
288,Rezh,RU,57.37,61.4043,12.67,95,100,4.27,overcast clouds
289,Mao,ES,39.8885,4.2658,46.96,93,20,8.05,few clouds
290,Komsomolskiy,UZ,40.4272,71.7189,38.62,32,100,6.91,overcast clouds
291,Elin Pelin,BG,42.6667,23.6,37.22,87,75,11.5,broken clouds
292,Bara,NG,10.3744,10.7288,63.88,32,0,9.01,clear sky
293,Aron,IN,24.3833,77.4167,50.25,50,0,6.49,clear sky
294,Monrovia,LR,6.3005,-10.7969,79.56,85,5,6.8,clear sky
295,Iquitos,PE,-3.7481,-73.2472,75.24,94,40,2.3,scattered clouds
296,Xiuyan,CN,40.2928,123.2744,14.47,68,3,4.79,clear sky
297,Mucuri,BR,-18.0864,-39.5508,77.16,84,68,9.53,broken clouds
298,Montanha,BR,-18.1269,-40.3633,72.39,91,56,7.74,broken clouds
299,Awbari,LY,26.5921,12.7805,52.65,31,3,7.54,clear sky
300,Ancud,CL,-41.8697,-73.8203,62.22,77,43,2.21,scattered clouds
301,Akcakoca,TR,41.0866,31.1162,38.7,58,8,6.49,clear sky
302,Bengkulu,ID,-3.8004,102.2655,73.56,95,100,9.19,overcast clouds
303,Paamiut,GL,61.994,-49.6678,-4.52,86,60,10.65,broken clouds
304,Roald,NO,62.5833,6.1333,37.0,87,75,25.32,snow
305,Kuching,MY,1.55,110.3333,77.22,94,20,0.0,few clouds
306,Sergiyevsk,RU,53.9413,51.165,20.55,97,100,2.28,light snow
307,Shimoda,JP,34.6667,138.95,42.1,57,4,26.11,clear sky
308,Saint-Augustin,CA,51.226,-58.6502,1.87,93,100,19.39,light snow
309,Mlonggo,ID,-6.5333,110.7,78.69,86,96,10.13,overcast clouds
310,Vestmannaeyjar,IS,63.4427,-20.2734,28.24,76,87,17.22,overcast clouds
311,Yerbogachen,RU,61.2767,108.0108,10.06,97,100,2.86,light snow
312,Bonfim,BR,3.0833,-59.95,81.9,63,100,4.81,overcast clouds
313,Landau,DE,49.2075,8.1133,43.83,83,62,16.08,broken clouds
314,Lysa Hora,UA,48.1706,31.1099,29.97,90,100,10.09,overcast clouds
315,Irbeyskoye,RU,55.6428,95.4522,22.26,73,100,10.2,overcast clouds
316,Karaidel,RU,55.8337,56.9069,11.62,96,99,2.59,overcast clouds
317,High Level,CA,58.5169,-117.136,-2.09,71,75,6.91,broken clouds
318,Ushtobe,KZ,45.2514,77.9838,15.75,80,4,7.99,clear sky
319,Taltal,CL,-25.4,-70.4833,68.43,72,22,4.45,few clouds
320,Lorengau,PG,-2.0226,147.2712,84.16,70,95,7.76,overcast clouds
321,Nhulunbuy,AU,-12.2333,136.7667,84.81,74,40,4.61,scattered clouds
322,Neyshabur,IR,36.2133,58.7958,35.69,76,83,7.63,broken clouds
323,Corner Brook,CA,48.9667,-57.9484,17.73,96,100,4.65,light snow
324,Quesnel,CA,52.9999,-122.5029,36.1,87,100,2.3,overcast clouds
325,Loandjili,CG,-4.7561,11.8578,77.11,88,40,3.44,scattered clouds
326,Bali,ID,-8.5,115.0,83.37,72,5,2.89,clear sky
327,Hamilton,US,39.1834,-84.5333,20.59,82,0,1.01,clear sky
328,Nogliki,RU,51.8333,143.1667,7.45,87,100,21.63,overcast clouds
329,Inongo,CD,-1.95,18.2667,74.37,86,100,1.99,overcast clouds
330,Elur,IN,10.0667,76.2833,71.56,94,13,2.3,mist
331,Dawlatabad,AF,36.4141,64.9053,45.64,89,100,3.24,overcast clouds
332,Manzhouli,CN,49.6,117.4333,-2.51,91,100,7.11,overcast clouds
333,Kijang,KR,35.2442,129.2139,28.13,42,100,12.15,overcast clouds
334,Nishihara,JP,26.1842,127.7558,58.68,55,40,16.11,scattered clouds
335,Porto Novo,BJ,6.4965,2.6036,82.22,88,0,3.91,clear sky
336,Kedougou,SN,12.5579,-12.1743,81.18,24,0,0.0,clear sky
337,Iberia,US,29.9502,-91.7507,44.67,45,0,5.75,clear sky
338,Concordia,AR,-31.393,-58.0209,72.79,62,0,10.0,clear sky
339,Nacogdoches,US,31.6002,-94.6335,44.78,58,0,0.0,clear sky
340,Clyde River,CA,70.4692,-68.5914,-28.97,75,100,2.3,overcast clouds
341,Mombetsu,JP,44.3525,143.3525,23.86,63,40,12.66,scattered clouds
342,Bud,US,39.447,-86.1758,20.35,84,11,6.26,few clouds
343,Souillac,MU,-20.5167,57.5167,79.36,89,40,11.5,scattered clouds
344,Naze,JP,28.3667,129.4833,50.92,67,100,14.74,overcast clouds
